"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VD8EVPLV","book","2001","Arich-Gerz, Bruno","Lesen - beobachten: Modell einer Wirkungsästhetik mit Thomas Pynchons Gravity's Rainbow","","978-3-87940-758-3","","","","","2001","2024-03-29 21:44:32","2024-03-29 21:44:32","","","178","","","","","Lesen - beobachten","Texte zur Weltliteratur","3","","","UVK, Univ.-Verl. Konstanz","Konstanz","ger","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","1. Aufl","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WSIKQPEK","book","2004","Battesti, Anne","Thomas Pynchon: l'approche et l'esquive","","978-2-7011-2409-4","","","","","2004","2024-03-29 21:44:33","2024-08-24 22:34:19","","","126","","","","","Thomas Pynchon","Voix américaines","","","","Belin","Paris","French","","","","","Library of Congress ISBN","PS3566.Y55 Z56 2004","OCLC: ocm54079150","","","","","Criticism and interpretation; Pynchon, Thomas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AE9RIM6R","book","1993","Berressem, Hanjo","Pynchon's poetics: interfacing theory and text","","978-0-252-06248-3 978-0-252-01919-7","","","","","1993","2024-03-29 21:44:34","2024-03-29 21:44:34","","","273","","","","","Pynchon's poetics","","","","","University of Illinois Press","Urbana","","","","","","Library of Congress ISBN","PS3566.Y55 Z57 1993","","","","","","Criticism and interpretation; Pynchon, Thomas; Subjectivity in literature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U5WBLK5W","book","1995","Best, Andrea","In/Animations: die Medien in den Romanen von Thomas Pynchon","","978-3-88476-154-0","","","","","1995","2024-03-29 21:44:35","2024-03-29 21:44:35","","","186","","","","","In/Animations","Schriftenreihe Literaturwissenschaft","27","","","WVT, Wiss. Verl. Trier","Trier","ger","","","","","K10plus ISBN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"248C67NE","book","2000","Brownlie, Alan W.","Thomas Pynchon's narratives: subjectivity and problems of knowing","","978-0-8204-4506-9","","","","","2000","2024-03-29 21:44:36","2024-03-29 21:44:36","","","143","","","","","Thomas Pynchon's narratives","Modern American literature","v. 24","","","Peter Lang","New York","","","","","","Library of Congress ISBN","PS3566.Y55 Z576 2000","","","","","","20th century; Criticism and interpretation; Pynchon, Thomas; Subjectivity in literature; History; Knowledge, Theory of, in literature; Narration (Rhetoric)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GR6YLFAF","book","2017","Carswell, Sean","Occupy Pynchon: politics after Gravity's Rainbow","","978-0-8203-5088-2","","","","","2017","2024-03-29 21:44:37","2024-03-29 21:44:37","","","203","","","","","Occupy Pynchon","","","","","The University of Georgia Press","Athens","","","","","","Library of Congress ISBN","PS3566.Y55 Z5768 2017","","","","","","Criticism and interpretation; Pynchon, Thomas; Government, Resistance to, in literature; Politics in literature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJJN8I9B","book","1992","Chambers, Judith","Thomas Pynchon","","978-0-8057-3960-2","","","","","1992","2024-03-29 21:44:38","2024-03-29 21:44:38","","","229","","","","","","Twayne's United States authors series","TUSAS 607","","","Twayne Publishers","New York, NY","","","","","","Library of Congress ISBN","PS3566.Y55 Z577 1992","","","","","","Criticism and interpretation; Pynchon, Thomas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FKMX3J2V","book","2000","Clerc, Charles","Mason & Dixon & Pynchon","","978-0-7618-1792-5","","","","","2000","2024-03-29 21:44:38","2024-03-29 21:44:38","","","248","","","","","","","","","","University Press of America","Lanham, Md","","","","","","Library of Congress ISBN","PS3566.Y55 M3734 2000","","","","","","History and criticism; Pynchon, Thomas; Biographical fiction, American; British in literature; Dixon, Jeremiah; Frontier and pioneer life in literature; In literature; Maryland; Mason & Dixon; Mason, Charles; Pennsylvania; Scientists in literature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EGHY27F2","book","2014","Collado-Rodríguez, Francisco","El orden del caos: literatura, política y posthumanidad en la narrativa de Thomas Pynchon","","978-84-370-8551-7","","","","","2014","2024-03-29 21:44:42","2024-10-30 01:26:03","","","226","","","","","El orden del caos","","","","","UNIVERSITAT DE VALÈNCIA","","spa","","","","","Open WorldCat","","OCLC: 1222924426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NNN3S7H8","book","1988","Colvile, Georgiana M. M.","Beyond and beneath the mantle: on Thomas Pynchon's The crying of lot 49","","978-90-5183-057-6","","","","","1988","2024-03-29 21:44:42","2024-03-29 21:44:42","","","119","","","","","Beyond and beneath the mantle","Costerus","new ser., vol. 68","","","Rodopi","Amsterdam","","","","","","Library of Congress ISBN","PE1 .C66 n.s., vol. 68","","","","","","Pynchon, Thomas; Crying of lot 49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
